SIZE ,SHAPE ,,STOCK ,COLORSPEC ,COATING ,,RunSize,UnitPrice,TotalPrice
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/5 (4/4 with Foil on Both Sides),Spot UV,Spot UV Back,2500,0.3025,756.22
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/5 (4/4 with Foil on Both Sides),Spot UV,Spot UV Back,5000,0.2136,"1,067.83"
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/0 (4/0 with Foil on Front),No Coating,,500,0.4255,212.77
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/0 (4/0 with Foil on Front),No Coating,,1000,0.2890,289.00
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/0 (4/0 with Foil on Front),No Coating,,2500,0.1867,466.83
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/0 (4/0 with Foil on Front),No Coating,,5000,0.1343,671.67
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/0 (4/0 with Foil on Front),UV on 4-color side,,500,0.4192,209.61
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/0 (4/0 with Foil on Front),UV on 4-color side,,1000,0.2858,285.82
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/0 (4/0 with Foil on Front),UV on 4-color side,,2500,0.1855,463.65
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/0 (4/0 with Foil on Front),UV on 4-color side,,5000,0.1337,668.49
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/0 (4/0 with Foil on Front),Spot UV,Spot UV Front,500,0.5240,262.01
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/0 (4/0 with Foil on Front),Spot UV,Spot UV Front,1000,0.3573,357.27
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/0 (4/0 with Foil on Front),Spot UV,Spot UV Front,2500,0.2318,579.56
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/0 (4/0 with Foil on Front),Spot UV,Spot UV Front,5000,0.1671,835.61
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,500,0.5431,271.53
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,1000,0.4240,423.96
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,2500,0.2433,608.15
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,5000,0.1715,857.43
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/4 (4/4 with Foil on Front),UV on 4-color side,,500,0.5367,268.35
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/4 (4/4 with Foil on Front),UV on 4-color side,,1000,0.4208,420.79
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/4 (4/4 with Foil on Front),UV on 4-color side,,2500,0.2420,604.97
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/4 (4/4 with Foil on Front),UV on 4-color side,,5000,0.1709,854.27
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Front,500,0.6709,335.43
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Front,1000,0.5260,525.99
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Front,2500,0.3025,756.22
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Front,5000,0.2136,"1,067.83"
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Both Sides,500,0.6709,335.43
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Both Sides,1000,0.5260,525.99
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Both Sides,2500,0.3025,756.22
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Both Sides,5000,0.2136,"1,067.83"
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Back,500,0.6709,335.43
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Back,1000,0.5260,525.99
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Back,2500,0.3025,756.22
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Back,5000,0.2136,"1,067.83"
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/1 (4/1 with Foil on Front),No Coating,,500,0.4795,239.77
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/1 (4/1 with Foil on Front),No Coating,,1000,0.3334,333.45
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/1 (4/1 with Foil on Front),No Coating,,2500,0.2052,512.88
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/1 (4/1 with Foil on Front),No Coating,,5000,0.1435,717.72
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/1 (4/1 with Foil on Front),UV on 4-color side,,500,0.4732,236.59
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/1 (4/1 with Foil on Front),UV on 4-color side,,1000,0.3303,330.28
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/1 (4/1 with Foil on Front),UV on 4-color side,,2500,0.2039,509.71
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/1 (4/1 with Foil on Front),UV on 4-color side,,5000,0.1426,712.96
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Front,500,0.5915,295.73
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Front,1000,0.4129,412.85
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Front,2500,0.2549,637.14
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Front,5000,0.1782,891.19
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Both Sides,500,0.5915,295.73
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Both Sides,1000,0.4129,412.85
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Both Sides,2500,0.2549,637.14
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Both Sides,5000,0.1782,891.19
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Back,500,0.5915,295.73
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Back,1000,0.4129,412.85
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Back,2500,0.2549,637.14
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Back,5000,0.1782,891.19
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,4/5 (4/4 with Foil on Back),No Coating,,500,0.5431,271.53
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,4/5 (4/4 with Foil on Back),No Coating,,1000,0.4240,423.96
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,4/5 (4/4 with Foil on Back),No Coating,,2500,0.2433,608.15
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,4/5 (4/4 with Foil on Back),No Coating,,5000,0.1715,857.43
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,4/5 (4/4 with Foil on Back),UV on 4-color side,,500,0.5367,268.35
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,4/5 (4/4 with Foil on Back),UV on 4-color side,,1000,0.4208,420.79
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,4/5 (4/4 with Foil on Back),UV on 4-color side,,2500,0.2420,604.97
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,4/5 (4/4 with Foil on Back),UV on 4-color side,,5000,0.1709,854.27
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Spot UV Front,500,0.6709,335.43
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Spot UV Front,1000,0.5260,525.99
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Spot UV Front,2500,0.3025,756.22
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Spot UV Front,5000,0.2136,"1,067.83"
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Spot UV Both Sides,500,0.6709,335.43
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Spot UV Both Sides,1000,0.5260,525.99
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Spot UV Both Sides,2500,0.3025,756.22
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Spot UV Both Sides,5000,0.2136,"1,067.83"
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Spot UV Back,500,0.6709,335.43
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Spot UV Back,1000,0.5260,525.99
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Spot UV Back,2500,0.3025,756.22
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Spot UV Back,5000,0.2136,"1,067.83"
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,,500,0.5431,271.53
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,,1000,0.4240,423.96
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,,2500,0.2433,608.15
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,,5000,0.1715,857.43
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",16PT C2S,5/5 (4/4 with Foil on Both Sides),UV on 4-color side,,500,0.5367,268.35
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",16PT C2S,5/5 (4/4 with Foil on Both Sides),UV on 4-color side,,1000,0.4208,420.79
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",16PT C2S,5/5 (4/4 with Foil on Both Sides),UV on 4-color side,,2500,0.2420,604.97
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",16PT C2S,5/5 (4/4 with Foil on Both Sides),UV on 4-color side,,5000,0.1709,854.27
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",16PT C2S,5/5 (4/4 with Foil on Both Sides),Spot UV,Spot UV Front,500,0.6709,335.43
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",16PT C2S,5/5 (4/4 with Foil on Both Sides),Spot UV,Spot UV Front,1000,0.5260,525.99
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",16PT C2S,5/5 (4/4 with Foil on Both Sides),Spot UV,Spot UV Front,2500,0.3025,756.22
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",16PT C2S,5/5 (4/4 with Foil on Both Sides),Spot UV,Spot UV Front,5000,0.2136,"1,067.83"
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",16PT C2S,5/5 (4/4 with Foil on Both Sides),Spot UV,Spot UV Both Sides,500,0.6709,335.43
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",16PT C2S,5/5 (4/4 with Foil on Both Sides),Spot UV,Spot UV Both Sides,1000,0.5260,525.99
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",16PT C2S,5/5 (4/4 with Foil on Both Sides),Spot UV,Spot UV Both Sides,2500,0.3025,756.22
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",16PT C2S,5/5 (4/4 with Foil on Both Sides),Spot UV,Spot UV Both Sides,5000,0.2136,"1,067.83"
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",16PT C2S,5/5 (4/4 with Foil on Both Sides),Spot UV,Spot UV Back,500,0.6709,335.43
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",16PT C2S,5/5 (4/4 with Foil on Both Sides),Spot UV,Spot UV Back,1000,0.5260,525.99
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",16PT C2S,5/5 (4/4 with Foil on Both Sides),Spot UV,Spot UV Back,2500,0.3025,756.22
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",16PT C2S,5/5 (4/4 with Foil on Both Sides),Spot UV,Spot UV Back,5000,0.2136,"1,067.83"
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",16PT C2S,5/0 (4/0 with Foil on Front),No Coating,,500,0.4255,212.77
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",16PT C2S,5/0 (4/0 with Foil on Front),No Coating,,1000,0.2890,289.00
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",16PT C2S,5/0 (4/0 with Foil on Front),No Coating,,2500,0.1867,466.83
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",16PT C2S,5/0 (4/0 with Foil on Front),No Coating,,5000,0.1343,671.67
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",16PT C2S,5/0 (4/0 with Foil on Front),UV on 4-color side,,500,0.4192,209.61
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",16PT C2S,5/0 (4/0 with Foil on Front),UV on 4-color side,,1000,0.2858,285.82
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",16PT C2S,5/0 (4/0 with Foil on Front),UV on 4-color side,,2500,0.1855,463.65
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",16PT C2S,5/0 (4/0 with Foil on Front),UV on 4-color side,,5000,0.1337,668.49
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",16PT C2S,5/0 (4/0 with Foil on Front),Spot UV,Spot UV Front,500,0.5240,262.01
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",16PT C2S,5/0 (4/0 with Foil on Front),Spot UV,Spot UV Front,1000,0.3573,357.27
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",16PT C2S,5/0 (4/0 with Foil on Front),Spot UV,Spot UV Front,2500,0.2318,579.56
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",16PT C2S,5/0 (4/0 with Foil on Front),Spot UV,Spot UV Front,5000,0.1671,835.61
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,500,0.5431,271.53
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,1000,0.4240,423.96
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,2500,0.2433,608.15
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,5000,0.1715,857.43
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",16PT C2S,5/4 (4/4 with Foil on Front),UV on 4-color side,,500,0.5367,268.35
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",16PT C2S,5/4 (4/4 with Foil on Front),UV on 4-color side,,1000,0.4208,420.79
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",16PT C2S,5/4 (4/4 with Foil on Front),UV on 4-color side,,2500,0.2420,604.97
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",16PT C2S,5/4 (4/4 with Foil on Front),UV on 4-color side,,5000,0.1709,854.27
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Front,500,0.6709,335.43
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Front,1000,0.5260,525.99
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Front,2500,0.3025,756.22
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Front,5000,0.2136,"1,067.83"
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Both Sides,500,0.6709,335.43
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Both Sides,1000,0.5260,525.99
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Both Sides,2500,0.3025,756.22
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Both Sides,5000,0.2136,"1,067.83"
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Back,500,0.6709,335.43
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Back,1000,0.5260,525.99
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Back,2500,0.3025,756.22
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Back,5000,0.2136,"1,067.83"
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",16PT C2S,5/1 (4/1 with Foil on Front),No Coating,,500,0.4795,239.77
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",16PT C2S,5/1 (4/1 with Foil on Front),No Coating,,1000,0.3334,333.45
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",16PT C2S,5/1 (4/1 with Foil on Front),No Coating,,2500,0.2052,512.88
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",16PT C2S,5/1 (4/1 with Foil on Front),No Coating,,5000,0.1435,717.72
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",16PT C2S,5/1 (4/1 with Foil on Front),UV on 4-color side,,500,0.4732,236.59
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",16PT C2S,5/1 (4/1 with Foil on Front),UV on 4-color side,,1000,0.3303,330.28
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",16PT C2S,5/1 (4/1 with Foil on Front),UV on 4-color side,,2500,0.2039,509.71
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",16PT C2S,5/1 (4/1 with Foil on Front),UV on 4-color side,,5000,0.1426,712.96
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Front,500,0.5915,295.73
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Front,1000,0.4129,412.85
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Front,2500,0.2549,637.14
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Front,5000,0.1782,891.19
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Both Sides,500,0.5915,295.73
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Both Sides,1000,0.4129,412.85
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Both Sides,2500,0.2549,637.14
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Both Sides,5000,0.1782,891.19
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Back,500,0.5915,295.73
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Back,1000,0.4129,412.85
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Back,2500,0.2549,637.14
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Back,5000,0.1782,891.19
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",16PT C2S,4/5 (4/4 with Foil on Back),No Coating,,500,0.5431,271.53
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",16PT C2S,4/5 (4/4 with Foil on Back),No Coating,,1000,0.4240,423.96
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",16PT C2S,4/5 (4/4 with Foil on Back),No Coating,,2500,0.2433,608.15
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",16PT C2S,4/5 (4/4 with Foil on Back),No Coating,,5000,0.1715,857.43
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",16PT C2S,4/5 (4/4 with Foil on Back),UV on 4-color side,,500,0.5367,268.35
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",16PT C2S,4/5 (4/4 with Foil on Back),UV on 4-color side,,1000,0.4208,420.79
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",16PT C2S,4/5 (4/4 with Foil on Back),UV on 4-color side,,2500,0.2420,604.97
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",16PT C2S,4/5 (4/4 with Foil on Back),UV on 4-color side,,5000,0.1709,854.27
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Spot UV Front,500,0.6709,335.43
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Spot UV Front,1000,0.5260,525.99
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Spot UV Front,2500,0.3025,756.22
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Spot UV Front,5000,0.2136,"1,067.83"
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Spot UV Both Sides,500,0.6709,335.43
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Spot UV Both Sides,1000,0.5260,525.99
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Spot UV Both Sides,2500,0.3025,756.22
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Spot UV Both Sides,5000,0.2136,"1,067.83"
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Spot UV Back,500,0.6709,335.43
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Spot UV Back,1000,0.5260,525.99
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Spot UV Back,2500,0.3025,756.22
"4.25"" x 6""",Rounded 4 Corners,"Rounded 1/4""",16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Spot UV Back,5000,0.2136,"1,067.83"
"4.25"" x 11""",Rectangle,,16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,,500,1.1274,563.70
"4.25"" x 11""",Rectangle,,16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,,1000,0.8448,844.75
"4.25"" x 11""",Rectangle,,16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,,2500,0.4732,"1,182.95"
"4.25"" x 11""",Rectangle,,16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,,5000,0.3026,"1,513.23"
"4.25"" x 11""",Rectangle,,16PT C2S,5/5 (4/4 with Foil on Both Sides),UV on 4-color side,,500,1.1210,560.51
"4.25"" x 11""",Rectangle,,16PT C2S,5/5 (4/4 with Foil on Both Sides),UV on 4-color side,,1000,0.8416,841.56
