SIZE ,SHAPE ,STOCK ,COLORSPEC ,COATING ,,BLANK ENVELOPES ,RunSize,UnitPrice,TotalPrice
"4.25"" x 5.5""",Rectangle,16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,,Include Envelopes - A2,1000,0.4363,436.31
"4.25"" x 5.5""",Rectangle,16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,,Include Envelopes - A2,2500,0.2591,647.67
"4.25"" x 5.5""",Rectangle,16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,,Include Envelopes - A2,5000,0.1893,946.36
"4.25"" x 5.5""",Rectangle,16PT C2S,5/5 (4/4 with Foil on Both Sides),UV on 4-color side,,No Blank Envelopes,500,0.5113,255.64
"4.25"" x 5.5""",Rectangle,16PT C2S,5/5 (4/4 with Foil on Both Sides),UV on 4-color side,,No Blank Envelopes,1000,0.4001,400.14
"4.25"" x 5.5""",Rectangle,16PT C2S,5/5 (4/4 with Foil on Both Sides),UV on 4-color side,,No Blank Envelopes,2500,0.2306,576.38
"4.25"" x 5.5""",Rectangle,16PT C2S,5/5 (4/4 with Foil on Both Sides),UV on 4-color side,,No Blank Envelopes,5000,0.1626,812.98
"4.25"" x 5.5""",Rectangle,16PT C2S,5/5 (4/4 with Foil on Both Sides),UV on 4-color side,,Include Envelopes - A2,500,0.5613,280.64
"4.25"" x 5.5""",Rectangle,16PT C2S,5/5 (4/4 with Foil on Both Sides),UV on 4-color side,,Include Envelopes - A2,1000,0.4331,433.14
"4.25"" x 5.5""",Rectangle,16PT C2S,5/5 (4/4 with Foil on Both Sides),UV on 4-color side,,Include Envelopes - A2,2500,0.2578,644.48
"4.25"" x 5.5""",Rectangle,16PT C2S,5/5 (4/4 with Foil on Both Sides),UV on 4-color side,,Include Envelopes - A2,5000,0.1886,943.18
"4.25"" x 5.5""",Rectangle,16PT C2S,5/1 (4/1 with Foil on Front),No Coating,,No Blank Envelopes,500,0.4573,228.66
"4.25"" x 5.5""",Rectangle,16PT C2S,5/1 (4/1 with Foil on Front),No Coating,,No Blank Envelopes,1000,0.3176,317.57
"4.25"" x 5.5""",Rectangle,16PT C2S,5/1 (4/1 with Foil on Front),No Coating,,No Blank Envelopes,2500,0.1956,489.06
"4.25"" x 5.5""",Rectangle,16PT C2S,5/1 (4/1 with Foil on Front),No Coating,,No Blank Envelopes,5000,0.1366,682.78
"4.25"" x 5.5""",Rectangle,16PT C2S,5/1 (4/1 with Foil on Front),No Coating,,Include Envelopes - A2,500,0.5073,253.66
