SIZE ,STOCK ,COLORSPEC ,COATING ,,RunSize,UnitPrice,TotalPrice
"8"" x 10""",18PT Uncoated Kraft,4/4 (4 color both sides),No Coating,,500,0.5907,295.34
"8"" x 10""",18PT Uncoated Kraft,4/4 (4 color both sides),No Coating,,1000,0.5542,554.16
"8"" x 10""",18PT Uncoated Kraft,4/0 with White Mask,No Coating,,100,0.7781,77.81
"8"" x 10""",18PT Uncoated Kraft,4/0 with White Mask,No Coating,,250,0.4827,120.68
"8"" x 10""",18PT Uncoated Kraft,4/0 with White Mask,No Coating,,500,0.4541,227.06
"8"" x 10""",18PT Uncoated Kraft,4/0 with White Mask,No Coating,,1000,0.4430,443.01
"8"" x 10""",18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,,100,0.9846,98.46
"8"" x 10""",18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,,250,0.6161,154.02
"8"" x 10""",18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,,500,0.5970,298.52
"8"" x 10""",18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,,1000,0.5843,584.32
"8"" x 10""",18PT Uncoated Kraft,4/1,No Coating,,100,0.9051,90.51
"8"" x 10""",18PT Uncoated Kraft,4/1,No Coating,,250,0.5716,142.91
"8"" x 10""",18PT Uncoated Kraft,4/1,No Coating,,500,0.5621,281.05
"8"" x 10""",18PT Uncoated Kraft,4/1,No Coating,,1000,0.5367,536.69
"8.5"" x 11""",18PT Uncoated Kraft,4/1 with White Mask on Front,No Coating,,100,1.0162,101.62
"8.5"" x 11""",18PT Uncoated Kraft,4/1 with White Mask on Front,No Coating,,250,0.6351,158.78
"8.5"" x 11""",18PT Uncoated Kraft,4/1 with White Mask on Front,No Coating,,500,0.6288,314.39
"8.5"" x 11""",18PT Uncoated Kraft,4/1 with White Mask on Front,No Coating,,1000,0.6240,624.04
"8.5"" x 11""",18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,,100,1.2386,123.86
"8.5"" x 11""",18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,,250,0.7812,195.30
"8.5"" x 11""",18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,,500,0.7717,385.84
"8.5"" x 11""",18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,,1000,0.7653,765.35
"8.5"" x 11""",18PT Uncoated Kraft,4/0 (4 color front),No Coating,,100,0.7781,77.81
"8.5"" x 11""",18PT Uncoated Kraft,4/0 (4 color front),No Coating,,250,0.4827,120.68
"8.5"" x 11""",18PT Uncoated Kraft,4/0 (4 color front),No Coating,,500,0.4446,222.30
"8.5"" x 11""",18PT Uncoated Kraft,4/0 (4 color front),No Coating,,1000,0.4287,428.72
"8.5"" x 11""",18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,,100,1.2386,123.86
"8.5"" x 11""",18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,,250,0.7812,195.30
"8.5"" x 11""",18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,,500,0.7717,385.84
"8.5"" x 11""",18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,,1000,0.7653,765.35
"8.5"" x 11""",18PT Uncoated Kraft,4/4 (4 color both sides),No Coating,,100,1.0003,100.03
"8.5"" x 11""",18PT Uncoated Kraft,4/4 (4 color both sides),No Coating,,250,0.6161,154.02
"8.5"" x 11""",18PT Uncoated Kraft,4/4 (4 color both sides),No Coating,,500,0.5970,298.52
"8.5"" x 11""",18PT Uncoated Kraft,4/4 (4 color both sides),No Coating,,1000,0.5573,557.34
"8.5"" x 11""",18PT Uncoated Kraft,4/0 with White Mask,No Coating,,100,0.8415,84.15
"8.5"" x 11""",18PT Uncoated Kraft,4/0 with White Mask,No Coating,,250,0.5208,130.20
"8.5"" x 11""",18PT Uncoated Kraft,4/0 with White Mask,No Coating,,500,0.5145,257.24
"8.5"" x 11""",18PT Uncoated Kraft,4/0 with White Mask,No Coating,,1000,0.5081,508.11
"8.5"" x 11""",18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,,100,1.2386,123.86
"8.5"" x 11""",18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,,250,0.7812,195.30
"8.5"" x 11""",18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,,500,0.7717,385.84
"8.5"" x 11""",18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,,1000,0.7653,765.35
"8.5"" x 11""",18PT Uncoated Kraft,4/1,No Coating,,100,0.9368,93.68
"8.5"" x 11""",18PT Uncoated Kraft,4/1,No Coating,,250,0.5844,146.09
"8.5"" x 11""",18PT Uncoated Kraft,4/1,No Coating,,500,0.5684,284.22
"8.5"" x 11""",18PT Uncoated Kraft,4/1,No Coating,,1000,0.5399,539.87
"9"" x 12""",18PT Uncoated Kraft,4/1 with White Mask on Front,No Coating,,100,1.0162,101.62
"9"" x 12""",18PT Uncoated Kraft,4/1 with White Mask on Front,No Coating,,250,0.6288,157.20
"9"" x 12""",18PT Uncoated Kraft,4/1 with White Mask on Front,No Coating,,500,0.6288,314.39
"9"" x 12""",18PT Uncoated Kraft,4/1 with White Mask on Front,No Coating,,1000,0.6240,624.04
"9"" x 12""",18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,,100,1.2386,123.86
"9"" x 12""",18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,,250,0.7812,195.30
"9"" x 12""",18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,,500,0.7717,385.84
"9"" x 12""",18PT Uncoated Kraft,4/4 with White Mask on Back,No Coating,,1000,0.7653,765.35
"9"" x 12""",18PT Uncoated Kraft,4/0 (4 color front),No Coating,,100,0.8097,80.97
"9"" x 12""",18PT Uncoated Kraft,4/0 (4 color front),No Coating,,250,0.5081,127.04
"9"" x 12""",18PT Uncoated Kraft,4/0 (4 color front),No Coating,,500,0.4668,233.42
"9"" x 12""",18PT Uncoated Kraft,4/0 (4 color front),No Coating,,1000,0.4414,441.43
"9"" x 12""",18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,,100,1.2386,123.86
"9"" x 12""",18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,,250,0.7812,195.30
"9"" x 12""",18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,,500,0.7717,385.84
"9"" x 12""",18PT Uncoated Kraft,4/4 with White Mask Both Sides,No Coating,,1000,0.7653,765.35
"9"" x 12""",18PT Uncoated Kraft,4/4 (4 color both sides),No Coating,,100,1.0479,104.79
"9"" x 12""",18PT Uncoated Kraft,4/4 (4 color both sides),No Coating,,250,0.6478,161.96
"9"" x 12""",18PT Uncoated Kraft,4/4 (4 color both sides),No Coating,,500,0.6256,312.81
"9"" x 12""",18PT Uncoated Kraft,4/4 (4 color both sides),No Coating,,1000,0.5748,574.81
"9"" x 12""",18PT Uncoated Kraft,4/0 with White Mask,No Coating,,100,0.8575,85.75
"9"" x 12""",18PT Uncoated Kraft,4/0 with White Mask,No Coating,,250,0.5208,130.20
"9"" x 12""",18PT Uncoated Kraft,4/0 with White Mask,No Coating,,500,0.5145,257.24
"9"" x 12""",18PT Uncoated Kraft,4/0 with White Mask,No Coating,,1000,0.5081,508.11
"9"" x 12""",18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,,100,1.2386,123.86
"9"" x 12""",18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,,250,0.7812,195.30
"9"" x 12""",18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,,500,0.7717,385.84
"9"" x 12""",18PT Uncoated Kraft,4/4 with White Mask on Front,No Coating,,1000,0.7653,765.35
"9"" x 12""",18PT Uncoated Kraft,4/1,No Coating,,100,0.9846,98.46
"9"" x 12""",18PT Uncoated Kraft,4/1,No Coating,,250,0.6161,154.02
"9"" x 12""",18PT Uncoated Kraft,4/1,No Coating,,500,0.5970,298.52
"9"" x 12""",18PT Uncoated Kraft,4/1,No Coating,,1000,0.5558,555.76
