SIZE ,SHAPE ,,STOCK ,COLORSPEC ,COATING ,,BLANK ENVELOPES ,RunSize,UnitPrice,TotalPrice
"4.25"" x 5.5""",Rounded 4 Corners,"Rounded 1/4""",14PT Pearl Metallic,4/1,No Coating,,No Blank Envelopes,75,1.1449,85.86
"4.25"" x 5.5""",Rounded 4 Corners,"Rounded 1/4""",14PT Pearl Metallic,4/1,No Coating,,No Blank Envelopes,100,0.9721,97.21
"4.25"" x 5.5""",Rounded 4 Corners,"Rounded 1/4""",14PT Pearl Metallic,4/1,No Coating,,No Blank Envelopes,250,0.5825,145.62
"4.25"" x 5.5""",Rounded 4 Corners,"Rounded 1/4""",14PT Pearl Metallic,4/1,No Coating,,No Blank Envelopes,500,0.4572,228.61
"4.25"" x 5.5""",Rounded 4 Corners,"Rounded 1/4""",14PT Pearl Metallic,4/1,No Coating,,No Blank Envelopes,1000,0.4191,419.11
"4.25"" x 5.5""",Rounded 4 Corners,"Rounded 1/4""",14PT Pearl Metallic,4/1,No Coating,,Include Pearl Envelopes - A2,25,2.0586,51.46
"4.25"" x 5.5""",Rounded 4 Corners,"Rounded 1/4""",14PT Pearl Metallic,4/1,No Coating,,Include Pearl Envelopes - A2,50,1.2246,61.23
"4.25"" x 5.5""",Rounded 4 Corners,"Rounded 1/4""",14PT Pearl Metallic,4/1,No Coating,,Include Pearl Envelopes - A2,75,1.1449,85.86
"4.25"" x 5.5""",Rounded 4 Corners,"Rounded 1/4""",14PT Pearl Metallic,4/1,No Coating,,Include Pearl Envelopes - A2,100,0.9721,97.21
"4.25"" x 5.5""",Rounded 4 Corners,"Rounded 1/4""",14PT Pearl Metallic,4/1,No Coating,,Include Pearl Envelopes - A2,250,0.5825,145.62
"4.25"" x 5.5""",Rounded 4 Corners,"Rounded 1/4""",14PT Pearl Metallic,4/1,No Coating,,Include Pearl Envelopes - A2,500,0.4572,228.61
"4.25"" x 5.5""",Rounded 4 Corners,"Rounded 1/4""",14PT Pearl Metallic,4/1,No Coating,,Include Pearl Envelopes - A2,1000,0.4191,419.11
"4.25"" x 5.5""",Rounded 4 Corners,"Rounded 1/4""",14PT Pearl Metallic,4/0 (4 color front),No Coating,,No Blank Envelopes,25,2.0586,51.46
"4.25"" x 5.5""",Rounded 4 Corners,"Rounded 1/4""",14PT Pearl Metallic,4/0 (4 color front),No Coating,,No Blank Envelopes,50,1.2246,61.23
"4.25"" x 5.5""",Rounded 4 Corners,"Rounded 1/4""",14PT Pearl Metallic,4/0 (4 color front),No Coating,,No Blank Envelopes,75,1.1449,85.86
"4.25"" x 5.5""",Rounded 4 Corners,"Rounded 1/4""",14PT Pearl Metallic,4/0 (4 color front),No Coating,,No Blank Envelopes,100,0.9721,97.21
"4.25"" x 5.5""",Rounded 4 Corners,"Rounded 1/4""",14PT Pearl Metallic,4/0 (4 color front),No Coating,,No Blank Envelopes,250,0.5825,145.62
"4.25"" x 5.5""",Rounded 4 Corners,"Rounded 1/4""",14PT Pearl Metallic,4/0 (4 color front),No Coating,,No Blank Envelopes,500,0.4572,228.61
"4.25"" x 5.5""",Rounded 4 Corners,"Rounded 1/4""",14PT Pearl Metallic,4/0 (4 color front),No Coating,,No Blank Envelopes,1000,0.4191,419.11
"4.25"" x 5.5""",Rounded 4 Corners,"Rounded 1/4""",14PT Pearl Metallic,4/0 (4 color front),No Coating,,Include Pearl Envelopes - A2,25,2.0586,51.46
"4.25"" x 5.5""",Rounded 4 Corners,"Rounded 1/4""",14PT Pearl Metallic,4/0 (4 color front),No Coating,,Include Pearl Envelopes - A2,50,1.2246,61.23
"4.25"" x 5.5""",Rounded 4 Corners,"Rounded 1/4""",14PT Pearl Metallic,4/0 (4 color front),No Coating,,Include Pearl Envelopes - A2,75,1.1449,85.86
"4.25"" x 5.5""",Rounded 4 Corners,"Rounded 1/4""",14PT Pearl Metallic,4/0 (4 color front),No Coating,,Include Pearl Envelopes - A2,100,0.9721,97.21
"4.25"" x 5.5""",Rounded 4 Corners,"Rounded 1/4""",14PT Pearl Metallic,4/0 (4 color front),No Coating,,Include Pearl Envelopes - A2,250,0.5825,145.62
"4.25"" x 5.5""",Rounded 4 Corners,"Rounded 1/4""",14PT Pearl Metallic,4/0 (4 color front),No Coating,,Include Pearl Envelopes - A2,500,0.4572,228.61
"4.25"" x 5.5""",Rounded 4 Corners,"Rounded 1/4""",14PT Pearl Metallic,4/0 (4 color front),No Coating,,Include Pearl Envelopes - A2,1000,0.4191,419.11
"4.25"" x 5.5""",Rounded 4 Corners,"Rounded 1/4""",14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,No Blank Envelopes,25,2.0586,51.46
"4.25"" x 5.5""",Rounded 4 Corners,"Rounded 1/4""",14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,No Blank Envelopes,50,1.2246,61.23
"4.25"" x 5.5""",Rounded 4 Corners,"Rounded 1/4""",14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,No Blank Envelopes,75,1.1449,85.86
"4.25"" x 5.5""",Rounded 4 Corners,"Rounded 1/4""",14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,No Blank Envelopes,100,0.9721,97.21
"4.25"" x 5.5""",Rounded 4 Corners,"Rounded 1/4""",14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,No Blank Envelopes,250,0.5825,145.62
"4.25"" x 5.5""",Rounded 4 Corners,"Rounded 1/4""",14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,No Blank Envelopes,500,0.4572,228.61
"4.25"" x 5.5""",Rounded 4 Corners,"Rounded 1/4""",14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,No Blank Envelopes,1000,0.4191,419.11
"4.25"" x 5.5""",Rounded 4 Corners,"Rounded 1/4""",14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,Include Pearl Envelopes - A2,25,2.0586,51.46
"4.25"" x 5.5""",Rounded 4 Corners,"Rounded 1/4""",14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,Include Pearl Envelopes - A2,50,1.2246,61.23
"4.25"" x 5.5""",Rounded 4 Corners,"Rounded 1/4""",14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,Include Pearl Envelopes - A2,75,1.1449,85.86
"4.25"" x 5.5""",Rounded 4 Corners,"Rounded 1/4""",14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,Include Pearl Envelopes - A2,100,0.9721,97.21
"4.25"" x 5.5""",Rounded 4 Corners,"Rounded 1/4""",14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,Include Pearl Envelopes - A2,250,0.5825,145.62
"4.25"" x 5.5""",Rounded 4 Corners,"Rounded 1/4""",14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,Include Pearl Envelopes - A2,500,0.4572,228.61
"4.25"" x 5.5""",Rounded 4 Corners,"Rounded 1/4""",14PT Pearl Metallic,4/4 (4 color both sides),No Coating,,Include Pearl Envelopes - A2,1000,0.4191,419.11
"4.25"" x 5.5""",Rounded 4 Corners,"Rounded 1/8""",14PT Pearl Metallic,4/1,No Coating,,No Blank Envelopes,25,2.0586,51.46
"4.25"" x 5.5""",Rounded 4 Corners,"Rounded 1/8""",14PT Pearl Metallic,4/1,No Coating,,No Blank Envelopes,50,1.2246,61.23
"4.25"" x 5.5""",Rounded 4 Corners,"Rounded 1/8""",14PT Pearl Metallic,4/1,No Coating,,No Blank Envelopes,75,1.1449,85.86
"4.25"" x 5.5""",Rounded 4 Corners,"Rounded 1/8""",14PT Pearl Metallic,4/1,No Coating,,No Blank Envelopes,100,0.9721,97.21
"4.25"" x 5.5""",Rounded 4 Corners,"Rounded 1/8""",14PT Pearl Metallic,4/1,No Coating,,No Blank Envelopes,250,0.5825,145.62
"4.25"" x 5.5""",Rounded 4 Corners,"Rounded 1/8""",14PT Pearl Metallic,4/1,No Coating,,No Blank Envelopes,500,0.4572,228.61
"4.25"" x 5.5""",Rounded 4 Corners,"Rounded 1/8""",14PT Pearl Metallic,4/1,No Coating,,No Blank Envelopes,1000,0.4191,419.11
"4.25"" x 5.5""",Rounded 4 Corners,"Rounded 1/8""",14PT Pearl Metallic,4/1,No Coating,,Include Pearl Envelopes - A2,25,2.0586,51.46
