SIZE ,STOCK ,COLORSPEC ,COATING ,LAMINATION ,FOIL COLOR ,SECOND RAISED COLOR ,RAISED FOIL SIDE ,,,RunSize,UnitPrice,TotalPrice
"2"" x 3.5"" (US Standard)",16PT C2S,6/1 (4/1 with Two Foils on Front),No Coating,Velvet,Silver Foil,Silver Foil,Raised Foil Front,,,250,0.4278,106.95
"2"" x 3.5"" (US Standard)",16PT C2S,6/1 (4/1 with Two Foils on Front),No Coating,Velvet,Silver Foil,Silver Foil,Raised Foil Front,,,500,0.2888,144.38
"2"" x 3.5"" (US Standard)",16PT C2S,6/1 (4/1 with Two Foils on Front),No Coating,Velvet,Holographic,Holographic,Raised Foil Front,,,100,0.7638,76.38
"2"" x 3.5"" (US Standard)",16PT C2S,6/1 (4/1 with Two Foils on Front),No Coating,Velvet,Holographic,Holographic,Raised Foil Front,,,250,0.4278,106.95
"2"" x 3.5"" (US Standard)",16PT C2S,6/1 (4/1 with Two Foils on Front),No Coating,Velvet,Holographic,Holographic,Raised Foil Front,,,500,0.2888,144.38
"2"" x 3.5"" (US Standard)",16PT C2S,6/1 (4/1 with Two Foils on Front),No Coating,Velvet,Holographic,Gold Foil,Raised Foil Front,,,100,0.7638,76.38
"2"" x 3.5"" (US Standard)",16PT C2S,6/1 (4/1 with Two Foils on Front),No Coating,Velvet,Holographic,Gold Foil,Raised Foil Front,,,250,0.4278,106.95
"2"" x 3.5"" (US Standard)",16PT C2S,6/1 (4/1 with Two Foils on Front),No Coating,Velvet,Holographic,Gold Foil,Raised Foil Front,,,500,0.2888,144.38
"2"" x 3.5"" (US Standard)",16PT C2S,6/1 (4/1 with Two Foils on Front),No Coating,Velvet,Holographic,Silver Foil,Raised Foil Front,,,100,0.7638,76.38
"2"" x 3.5"" (US Standard)",16PT C2S,6/1 (4/1 with Two Foils on Front),No Coating,Velvet,Holographic,Silver Foil,Raised Foil Front,,,250,0.4278,106.95
"2"" x 3.5"" (US Standard)",16PT C2S,6/1 (4/1 with Two Foils on Front),No Coating,Velvet,Holographic,Silver Foil,Raised Foil Front,,,500,0.2888,144.38
"2"" x 3.5"" (US Standard)",16PT C2S,6/1 (4/1 with Two Foils on Front),No Coating,Velvet,Gold Foil,Holographic,Raised Foil Front,,,100,0.7638,76.38
"2"" x 3.5"" (US Standard)",16PT C2S,6/1 (4/1 with Two Foils on Front),No Coating,Velvet,Gold Foil,Holographic,Raised Foil Front,,,250,0.4278,106.95
"2"" x 3.5"" (US Standard)",16PT C2S,6/1 (4/1 with Two Foils on Front),No Coating,Velvet,Gold Foil,Holographic,Raised Foil Front,,,500,0.2888,144.38
"2"" x 3.5"" (US Standard)",16PT C2S,6/1 (4/1 with Two Foils on Front),No Coating,Velvet,Gold Foil,Gold Foil,Raised Foil Front,,,100,0.7638,76.38
"2"" x 3.5"" (US Standard)",16PT C2S,6/1 (4/1 with Two Foils on Front),No Coating,Velvet,Gold Foil,Gold Foil,Raised Foil Front,,,250,0.4278,106.95
"2"" x 3.5"" (US Standard)",16PT C2S,6/1 (4/1 with Two Foils on Front),No Coating,Velvet,Gold Foil,Gold Foil,Raised Foil Front,,,500,0.2888,144.38
"2"" x 3.5"" (US Standard)",16PT C2S,6/1 (4/1 with Two Foils on Front),No Coating,Velvet,Gold Foil,Silver Foil,Raised Foil Front,,,100,0.7638,76.38
"2"" x 3.5"" (US Standard)",16PT C2S,6/1 (4/1 with Two Foils on Front),No Coating,Velvet,Gold Foil,Silver Foil,Raised Foil Front,,,250,0.4278,106.95
"2"" x 3.5"" (US Standard)",16PT C2S,6/1 (4/1 with Two Foils on Front),No Coating,Velvet,Gold Foil,Silver Foil,Raised Foil Front,,,500,0.2888,144.38
"2"" x 3.5"" (US Standard)",16PT C2S,6/0 (4/0 with Two Foils on Front),No Coating,Velvet,Silver Foil,Holographic,Raised Foil Front,,,100,0.7638,76.38
"2"" x 3.5"" (US Standard)",16PT C2S,6/0 (4/0 with Two Foils on Front),No Coating,Velvet,Silver Foil,Holographic,Raised Foil Front,,,250,0.4278,106.95
"2"" x 3.5"" (US Standard)",16PT C2S,6/0 (4/0 with Two Foils on Front),No Coating,Velvet,Silver Foil,Holographic,Raised Foil Front,,,500,0.2888,144.38
"2"" x 3.5"" (US Standard)",16PT C2S,6/0 (4/0 with Two Foils on Front),No Coating,Velvet,Silver Foil,Gold Foil,Raised Foil Front,,,100,0.7638,76.38
"2"" x 3.5"" (US Standard)",16PT C2S,6/0 (4/0 with Two Foils on Front),No Coating,Velvet,Silver Foil,Gold Foil,Raised Foil Front,,,250,0.4278,106.95
