SIZE ,SHAPE ,,STOCK ,COLORSPEC ,COATING ,,LAMINATION ,FOIL COLOR ,RunSize,UnitPrice,TotalPrice
"3"" x 5""",Rectangle,,16PT C2S,5/0 (4/0 with Foil on Front),Spot UV,Spot UV Front,Silk,Blue Foil,5000,0.2376,"1,188.00"
"3"" x 5""",Rectangle,,16PT C2S,5/0 (4/0 with Foil on Front),Spot UV,Spot UV Front,Silk,Silver Foil,500,0.5399,269.94
"3"" x 5""",Rectangle,,16PT C2S,5/0 (4/0 with Foil on Front),Spot UV,Spot UV Front,Silk,Silver Foil,1000,0.2988,298.81
"3"" x 5""",Rectangle,,16PT C2S,5/0 (4/0 with Foil on Front),Spot UV,Spot UV Front,Silk,Silver Foil,2500,0.2847,711.64
"3"" x 5""",Rectangle,,16PT C2S,5/0 (4/0 with Foil on Front),Spot UV,Spot UV Front,Silk,Silver Foil,5000,0.2376,"1,188.00"
"3"" x 5""",Rectangle,,16PT C2S,5/0 (4/0 with Foil on Front),Spot UV,Spot UV Front,Silk,Copper Foil,500,0.5399,269.94
"3"" x 5""",Rectangle,,16PT C2S,5/0 (4/0 with Foil on Front),Spot UV,Spot UV Front,Silk,Copper Foil,1000,0.2988,298.81
"3"" x 5""",Rectangle,,16PT C2S,5/0 (4/0 with Foil on Front),Spot UV,Spot UV Front,Silk,Copper Foil,2500,0.2847,711.64
"3"" x 5""",Rectangle,,16PT C2S,5/0 (4/0 with Foil on Front),Spot UV,Spot UV Front,Silk,Copper Foil,5000,0.2376,"1,188.00"
"3"" x 5""",Rectangle,,16PT C2S,5/0 (4/0 with Foil on Front),Spot UV,Spot UV Front,Silk,Gold Foil,500,0.5399,269.94
"3"" x 5""",Rectangle,,16PT C2S,5/0 (4/0 with Foil on Front),Spot UV,Spot UV Front,Silk,Gold Foil,1000,0.2988,298.81
"3"" x 5""",Rectangle,,16PT C2S,5/0 (4/0 with Foil on Front),Spot UV,Spot UV Front,Silk,Gold Foil,2500,0.2847,711.64
"3"" x 5""",Rectangle,,16PT C2S,5/0 (4/0 with Foil on Front),Spot UV,Spot UV Front,Silk,Gold Foil,5000,0.2376,"1,188.00"
"3"" x 5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,Silk,Red Foil,500,0.3840,191.99
"3"" x 5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,Silk,Red Foil,1000,0.2483,248.28
"3"" x 5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,Silk,Red Foil,2500,0.1992,498.02
"3"" x 5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,Silk,Red Foil,5000,0.1568,783.82
"3"" x 5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,Silk,Black Foil,500,0.3840,191.99
"3"" x 5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,Silk,Black Foil,1000,0.2483,248.28
"3"" x 5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,Silk,Black Foil,2500,0.1992,498.02
"3"" x 5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,Silk,Black Foil,5000,0.1568,783.82
"3"" x 5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,Silk,Rose Gold Foil,500,0.3840,191.99
"3"" x 5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,Silk,Rose Gold Foil,1000,0.2483,248.28
"3"" x 5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,Silk,Rose Gold Foil,2500,0.1992,498.02
"3"" x 5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,Silk,Rose Gold Foil,5000,0.1568,783.82
"3"" x 5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,Silk,Blue Foil,500,0.3840,191.99
"3"" x 5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,Silk,Blue Foil,1000,0.2483,248.28
"3"" x 5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,Silk,Blue Foil,2500,0.1992,498.02
"3"" x 5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,Silk,Blue Foil,5000,0.1568,783.82
"3"" x 5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,Silk,Silver Foil,500,0.3840,191.99
"3"" x 5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,Silk,Silver Foil,1000,0.2483,248.28
"3"" x 5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,Silk,Silver Foil,2500,0.1992,498.02
"3"" x 5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,Silk,Silver Foil,5000,0.1568,783.82
"3"" x 5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,Silk,Copper Foil,500,0.3840,191.99
"3"" x 5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,Silk,Copper Foil,1000,0.2483,248.28
"3"" x 5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,Silk,Copper Foil,2500,0.1992,498.02
"3"" x 5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,Silk,Copper Foil,5000,0.1568,783.82
"3"" x 5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,Silk,Gold Foil,500,0.3840,191.99
"3"" x 5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,Silk,Gold Foil,1000,0.2483,248.28
"3"" x 5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,Silk,Gold Foil,2500,0.1992,498.02
"3"" x 5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,Silk,Gold Foil,5000,0.1568,783.82
"3"" x 5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Front,Silk,Red Foil,500,0.5399,269.94
"3"" x 5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Front,Silk,Red Foil,1000,0.2988,298.81
"3"" x 5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Front,Silk,Red Foil,2500,0.2847,711.64
"3"" x 5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Front,Silk,Red Foil,5000,0.2376,"1,188.00"
"3"" x 5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Front,Silk,Black Foil,500,0.5399,269.94
"3"" x 5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Front,Silk,Black Foil,1000,0.2988,298.81
"3"" x 5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Front,Silk,Black Foil,2500,0.2847,711.64
"3"" x 5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Front,Silk,Black Foil,5000,0.2376,"1,188.00"
"3"" x 5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Front,Silk,Rose Gold Foil,500,0.5399,269.94
"3"" x 5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Front,Silk,Rose Gold Foil,1000,0.2988,298.81
"3"" x 5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Front,Silk,Rose Gold Foil,2500,0.2847,711.64
"3"" x 5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Front,Silk,Rose Gold Foil,5000,0.2376,"1,188.00"
"3"" x 5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Front,Silk,Blue Foil,500,0.5399,269.94
"3"" x 5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Front,Silk,Blue Foil,1000,0.2988,298.81
"3"" x 5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Front,Silk,Blue Foil,2500,0.2847,711.64
"3"" x 5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Front,Silk,Blue Foil,5000,0.2376,"1,188.00"
"3"" x 5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Front,Silk,Silver Foil,500,0.5399,269.94
"3"" x 5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Front,Silk,Silver Foil,1000,0.2988,298.81
"3"" x 5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Front,Silk,Silver Foil,2500,0.2847,711.64
"3"" x 5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Front,Silk,Silver Foil,5000,0.2376,"1,188.00"
"3"" x 5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Front,Silk,Copper Foil,500,0.5399,269.94
"3"" x 5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Front,Silk,Copper Foil,1000,0.2988,298.81
"3"" x 5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Front,Silk,Copper Foil,2500,0.2847,711.64
"3"" x 5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Front,Silk,Copper Foil,5000,0.2376,"1,188.00"
"3"" x 5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Front,Silk,Gold Foil,500,0.5399,269.94
"3"" x 5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Front,Silk,Gold Foil,1000,0.2988,298.81
"3"" x 5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Front,Silk,Gold Foil,2500,0.2847,711.64
"3"" x 5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Front,Silk,Gold Foil,5000,0.2376,"1,188.00"
"3"" x 5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Both Sides,Silk,Red Foil,500,0.5399,269.94
"3"" x 5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Both Sides,Silk,Red Foil,1000,0.2988,298.81
"3"" x 5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Both Sides,Silk,Red Foil,2500,0.2847,711.64
"3"" x 5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Both Sides,Silk,Red Foil,5000,0.2376,"1,188.00"
"3"" x 5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Both Sides,Silk,Black Foil,500,0.5399,269.94
"3"" x 5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Both Sides,Silk,Black Foil,1000,0.2988,298.81
"3"" x 5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Both Sides,Silk,Black Foil,2500,0.2847,711.64
"3"" x 5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Both Sides,Silk,Black Foil,5000,0.2376,"1,188.00"
"3"" x 5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Both Sides,Silk,Rose Gold Foil,500,0.5399,269.94
"3"" x 5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Both Sides,Silk,Rose Gold Foil,1000,0.2988,298.81
"3"" x 5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Both Sides,Silk,Rose Gold Foil,2500,0.2847,711.64
"3"" x 5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Both Sides,Silk,Rose Gold Foil,5000,0.2376,"1,188.00"
"3"" x 5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Both Sides,Silk,Blue Foil,500,0.5399,269.94
"3"" x 5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Both Sides,Silk,Blue Foil,1000,0.2988,298.81
"3"" x 5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Both Sides,Silk,Blue Foil,2500,0.2847,711.64
"3"" x 5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Both Sides,Silk,Blue Foil,5000,0.2376,"1,188.00"
"3"" x 5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Both Sides,Silk,Silver Foil,500,0.5399,269.94
"3"" x 5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Both Sides,Silk,Silver Foil,1000,0.2988,298.81
"3"" x 5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Both Sides,Silk,Silver Foil,2500,0.2847,711.64
"3"" x 5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Both Sides,Silk,Silver Foil,5000,0.2376,"1,188.00"
"3"" x 5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Both Sides,Silk,Copper Foil,500,0.5399,269.94
"3"" x 5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Both Sides,Silk,Copper Foil,1000,0.2988,298.81
"3"" x 5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Both Sides,Silk,Copper Foil,2500,0.2847,711.64
"3"" x 5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Both Sides,Silk,Copper Foil,5000,0.2376,"1,188.00"
"3"" x 5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Both Sides,Silk,Gold Foil,500,0.5399,269.94
"3"" x 5""",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Both Sides,Silk,Gold Foil,1000,0.2988,298.81
