SIZE ,SHAPE ,STOCK ,COLORSPEC ,COATING ,PRODUCT STYLE ,SPOT UV SIDES ,LAMINATION ,FOIL COLOR ,,DRILL HOLE ,RunSize,UnitPrice,TotalPrice
"1.5"" x 3.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Both Sides,Silk,Black Foil,,No Hole Punch,1000,0.1445,144.50
"1.5"" x 3.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Both Sides,Silk,Black Foil,,No Hole Punch,2500,0.1423,355.68
"1.5"" x 3.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Both Sides,Silk,Black Foil,,No Hole Punch,5000,0.1248,624.04
"1.5"" x 3.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Both Sides,Silk,Black Foil,,"Standard Drill Hole 1/4""",500,0.2572,128.60
"1.5"" x 3.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Both Sides,Silk,Black Foil,,"Standard Drill Hole 1/4""",1000,0.1445,144.50
"1.5"" x 3.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Both Sides,Silk,Black Foil,,"Standard Drill Hole 1/4""",2500,0.1423,355.68
"1.5"" x 3.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Both Sides,Silk,Black Foil,,"Standard Drill Hole 1/4""",5000,0.1248,624.04
"1.5"" x 3.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Both Sides,Silk,Blue Foil,,"Standard Drill Hole 1/8""",500,0.2572,128.60
"1.5"" x 3.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Both Sides,Silk,Blue Foil,,"Standard Drill Hole 1/8""",1000,0.1445,144.50
"1.5"" x 3.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Both Sides,Silk,Blue Foil,,"Standard Drill Hole 1/8""",2500,0.1423,355.68
"1.5"" x 3.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Both Sides,Silk,Blue Foil,,"Standard Drill Hole 1/8""",5000,0.1248,624.04
"1.5"" x 3.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Both Sides,Silk,Blue Foil,,No Drill Hole,500,0.2572,128.60
"1.5"" x 3.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Both Sides,Silk,Blue Foil,,No Drill Hole,1000,0.1445,144.50
"1.5"" x 3.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Both Sides,Silk,Blue Foil,,No Drill Hole,2500,0.1423,355.68
"1.5"" x 3.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Both Sides,Silk,Blue Foil,,No Drill Hole,5000,0.1248,624.04
"1.5"" x 3.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Both Sides,Silk,Blue Foil,,No Hole Punch,500,0.2572,128.60
"1.5"" x 3.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Both Sides,Silk,Blue Foil,,No Hole Punch,1000,0.1445,144.50
"1.5"" x 3.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Both Sides,Silk,Blue Foil,,No Hole Punch,2500,0.1423,355.68
"1.5"" x 3.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Both Sides,Silk,Blue Foil,,No Hole Punch,5000,0.1248,624.04
"1.5"" x 3.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Both Sides,Silk,Blue Foil,,"Standard Drill Hole 1/4""",500,0.2572,128.60
"1.5"" x 3.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Both Sides,Silk,Blue Foil,,"Standard Drill Hole 1/4""",1000,0.1445,144.50
"1.5"" x 3.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Both Sides,Silk,Blue Foil,,"Standard Drill Hole 1/4""",2500,0.1423,355.68
"1.5"" x 3.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Both Sides,Silk,Blue Foil,,"Standard Drill Hole 1/4""",5000,0.1248,624.04
"1.5"" x 3.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Both Sides,Silk,Gold Foil,,"Standard Drill Hole 1/8""",500,0.2572,128.60
"1.5"" x 3.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Both Sides,Silk,Gold Foil,,"Standard Drill Hole 1/8""",1000,0.1445,144.50
"1.5"" x 3.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Both Sides,Silk,Gold Foil,,"Standard Drill Hole 1/8""",2500,0.1423,355.68
"1.5"" x 3.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Both Sides,Silk,Gold Foil,,"Standard Drill Hole 1/8""",5000,0.1248,624.04
"1.5"" x 3.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Both Sides,Silk,Gold Foil,,No Drill Hole,500,0.2572,128.60
"1.5"" x 3.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Both Sides,Silk,Gold Foil,,No Drill Hole,1000,0.1445,144.50
"1.5"" x 3.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Both Sides,Silk,Gold Foil,,No Drill Hole,2500,0.1423,355.68
"1.5"" x 3.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Both Sides,Silk,Gold Foil,,No Drill Hole,5000,0.1248,624.04
"1.5"" x 3.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Both Sides,Silk,Gold Foil,,No Hole Punch,500,0.2572,128.60
"1.5"" x 3.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Both Sides,Silk,Gold Foil,,No Hole Punch,1000,0.1445,144.50
"1.5"" x 3.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Both Sides,Silk,Gold Foil,,No Hole Punch,2500,0.1423,355.68
"1.5"" x 3.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Both Sides,Silk,Gold Foil,,No Hole Punch,5000,0.1248,624.04
"1.5"" x 3.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Both Sides,Silk,Gold Foil,,"Standard Drill Hole 1/4""",500,0.2572,128.60
"1.5"" x 3.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Both Sides,Silk,Gold Foil,,"Standard Drill Hole 1/4""",1000,0.1445,144.50
"1.5"" x 3.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Both Sides,Silk,Gold Foil,,"Standard Drill Hole 1/4""",2500,0.1423,355.68
"1.5"" x 3.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Both Sides,Silk,Gold Foil,,"Standard Drill Hole 1/4""",5000,0.1248,624.04
"1.5"" x 3.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Both Sides,Silk,Copper Foil,,"Standard Drill Hole 1/8""",500,0.2572,128.60
"1.5"" x 3.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Both Sides,Silk,Copper Foil,,"Standard Drill Hole 1/8""",1000,0.1445,144.50
"1.5"" x 3.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Both Sides,Silk,Copper Foil,,"Standard Drill Hole 1/8""",2500,0.1423,355.68
"1.5"" x 3.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Both Sides,Silk,Copper Foil,,"Standard Drill Hole 1/8""",5000,0.1248,624.04
"1.5"" x 3.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Both Sides,Silk,Copper Foil,,No Drill Hole,500,0.2572,128.60
"1.5"" x 3.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Both Sides,Silk,Copper Foil,,No Drill Hole,1000,0.1445,144.50
"1.5"" x 3.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Both Sides,Silk,Copper Foil,,No Drill Hole,2500,0.1423,355.68
"1.5"" x 3.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Both Sides,Silk,Copper Foil,,No Drill Hole,5000,0.1248,624.04
"1.5"" x 3.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Both Sides,Silk,Copper Foil,,No Hole Punch,500,0.2572,128.60
"1.5"" x 3.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Both Sides,Silk,Copper Foil,,No Hole Punch,1000,0.1445,144.50
"1.5"" x 3.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Both Sides,Silk,Copper Foil,,No Hole Punch,2500,0.1423,355.68
"1.5"" x 3.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Both Sides,Silk,Copper Foil,,No Hole Punch,5000,0.1248,624.04
"1.5"" x 3.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Both Sides,Silk,Copper Foil,,"Standard Drill Hole 1/4""",500,0.2572,128.60
"1.5"" x 3.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Both Sides,Silk,Copper Foil,,"Standard Drill Hole 1/4""",1000,0.1445,144.50
"1.5"" x 3.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Both Sides,Silk,Copper Foil,,"Standard Drill Hole 1/4""",2500,0.1423,355.68
"1.5"" x 3.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Both Sides,Silk,Copper Foil,,"Standard Drill Hole 1/4""",5000,0.1248,624.04
"1.5"" x 3.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Both Sides,Silk,Silver Foil,,"Standard Drill Hole 1/8""",500,0.2572,128.60
"1.5"" x 3.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Both Sides,Silk,Silver Foil,,"Standard Drill Hole 1/8""",1000,0.1445,144.50
"1.5"" x 3.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Both Sides,Silk,Silver Foil,,"Standard Drill Hole 1/8""",2500,0.1423,355.68
"1.5"" x 3.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Both Sides,Silk,Silver Foil,,"Standard Drill Hole 1/8""",5000,0.1248,624.04
"1.5"" x 3.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Both Sides,Silk,Silver Foil,,No Drill Hole,500,0.2572,128.60
"1.5"" x 3.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Both Sides,Silk,Silver Foil,,No Drill Hole,1000,0.1445,144.50
"1.5"" x 3.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Both Sides,Silk,Silver Foil,,No Drill Hole,2500,0.1423,355.68
"1.5"" x 3.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Both Sides,Silk,Silver Foil,,No Drill Hole,5000,0.1248,624.04
"1.5"" x 3.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Both Sides,Silk,Silver Foil,,No Hole Punch,500,0.2572,128.60
"1.5"" x 3.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Both Sides,Silk,Silver Foil,,No Hole Punch,1000,0.1445,144.50
"1.5"" x 3.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Both Sides,Silk,Silver Foil,,No Hole Punch,2500,0.1423,355.68
"1.5"" x 3.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Both Sides,Silk,Silver Foil,,No Hole Punch,5000,0.1248,624.04
"1.5"" x 3.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Both Sides,Silk,Silver Foil,,"Standard Drill Hole 1/4""",500,0.2572,128.60
"1.5"" x 3.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Both Sides,Silk,Silver Foil,,"Standard Drill Hole 1/4""",1000,0.1445,144.50
"1.5"" x 3.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Both Sides,Silk,Silver Foil,,"Standard Drill Hole 1/4""",2500,0.1423,355.68
"1.5"" x 3.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Both Sides,Silk,Silver Foil,,"Standard Drill Hole 1/4""",5000,0.1248,624.04
"1.5"" x 3.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Back,Silk,Red Foil,,"Standard Drill Hole 1/8""",500,0.2572,128.60
"1.5"" x 3.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Back,Silk,Red Foil,,"Standard Drill Hole 1/8""",1000,0.1445,144.50
"1.5"" x 3.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Back,Silk,Red Foil,,"Standard Drill Hole 1/8""",2500,0.1423,355.68
"1.5"" x 3.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Back,Silk,Red Foil,,"Standard Drill Hole 1/8""",5000,0.1248,624.04
"1.5"" x 3.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Back,Silk,Red Foil,,No Drill Hole,500,0.2572,128.60
"1.5"" x 3.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Back,Silk,Red Foil,,No Drill Hole,1000,0.1445,144.50
"1.5"" x 3.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Back,Silk,Red Foil,,No Drill Hole,2500,0.1423,355.68
"1.5"" x 3.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Back,Silk,Red Foil,,No Drill Hole,5000,0.1248,624.04
"1.5"" x 3.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Back,Silk,Red Foil,,No Hole Punch,500,0.2572,128.60
"1.5"" x 3.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Back,Silk,Red Foil,,No Hole Punch,1000,0.1445,144.50
"1.5"" x 3.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Back,Silk,Red Foil,,No Hole Punch,2500,0.1423,355.68
"1.5"" x 3.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Back,Silk,Red Foil,,No Hole Punch,5000,0.1248,624.04
"1.5"" x 3.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Back,Silk,Black Foil,,"Standard Drill Hole 1/8""",500,0.2572,128.60
"1.5"" x 3.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Back,Silk,Black Foil,,"Standard Drill Hole 1/8""",1000,0.1445,144.50
"1.5"" x 3.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Back,Silk,Black Foil,,"Standard Drill Hole 1/8""",2500,0.1423,355.68
"1.5"" x 3.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Back,Silk,Black Foil,,"Standard Drill Hole 1/8""",5000,0.1248,624.04
"1.5"" x 3.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Back,Silk,Black Foil,,No Drill Hole,500,0.2572,128.60
"1.5"" x 3.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Back,Silk,Black Foil,,No Drill Hole,1000,0.1445,144.50
"1.5"" x 3.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Back,Silk,Black Foil,,No Drill Hole,2500,0.1423,355.68
"1.5"" x 3.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Back,Silk,Black Foil,,No Drill Hole,5000,0.1248,624.04
"1.5"" x 3.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Back,Silk,Black Foil,,No Hole Punch,500,0.2572,128.60
"1.5"" x 3.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Back,Silk,Black Foil,,No Hole Punch,1000,0.1445,144.50
"1.5"" x 3.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Back,Silk,Black Foil,,No Hole Punch,2500,0.1423,355.68
"1.5"" x 3.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Back,Silk,Black Foil,,No Hole Punch,5000,0.1248,624.04
"1.5"" x 3.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Back,Silk,Blue Foil,,"Standard Drill Hole 1/8""",500,0.2572,128.60
"1.5"" x 3.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Back,Silk,Blue Foil,,"Standard Drill Hole 1/8""",1000,0.1445,144.50
"1.5"" x 3.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Back,Silk,Blue Foil,,"Standard Drill Hole 1/8""",2500,0.1423,355.68
"1.5"" x 3.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Back,Silk,Blue Foil,,"Standard Drill Hole 1/8""",5000,0.1248,624.04
"1.5"" x 3.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Back,Silk,Blue Foil,,No Drill Hole,500,0.2572,128.60
"1.5"" x 3.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Back,Silk,Blue Foil,,No Drill Hole,1000,0.1445,144.50
"1.5"" x 3.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Back,Silk,Blue Foil,,No Drill Hole,2500,0.1423,355.68
"1.5"" x 3.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Back,Silk,Blue Foil,,No Drill Hole,5000,0.1248,624.04
"1.5"" x 3.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Back,Silk,Blue Foil,,No Hole Punch,500,0.2572,128.60
"1.5"" x 3.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Back,Silk,Blue Foil,,No Hole Punch,1000,0.1445,144.50
"1.5"" x 3.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Back,Silk,Blue Foil,,No Hole Punch,2500,0.1423,355.68
"1.5"" x 3.5""",Rectangle,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Back,Silk,Blue Foil,,No Hole Punch,5000,0.1248,624.04
